"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"WDR45B",0.00143914740817081,3.56556661275801,0.537,0.403,1
"RPL27A",0.00143942376831147,1.45145946409038,0.595,0.424,1
"WSB1",0.00145134820374476,12.0321335430777,0.504,0.374,1
"CAPN1",0.00148995006813653,1.0972868534142,0.545,0.367,1
"ITGA2",0.00152871695438981,5.00332816105782,0.38,0.159,1
"HNRNPH1",0.00153437227401713,7.53712941147049,0.463,0.262,1
"TMEM50B",0.00158292383468397,5.5266449698398,0.331,0.152,1
"UBA1",0.00170355306826855,0.874423300018956,0.545,0.412,1
"PTTG1IP",0.00175955005234902,0.611077190306698,0.554,0.385,1
"HM13",0.00177556992902775,1.25704517122274,0.512,0.395,1
"PDXK",0.00181426983413004,1.10220011847561,0.496,0.353,1
"RTN4",0.00182260585074073,0.403981291822364,0.545,0.424,1
"ATG13",0.00187712295612198,1.61554126305227,0.364,0.223,1
"TOMM20",0.00189270161549633,0.930759917013968,0.562,0.401,1
"RNF4",0.00192746515314951,2.20180699641556,0.347,0.163,1
"CMPK1",0.00196919350021673,3.02865735017693,0.521,0.301,1
"MRPL16",0.00197485216292661,0.590976266291302,0.074,0.116,1
"HNRNPUL2",0.00198275028747021,0.846179846448721,0.413,0.239,1
"PPM1G",0.00200599375722729,1.0244398405172,0.529,0.334,1
"ADAM17",0.00201538581164288,0.698322836156523,0.289,0.107,1
"GOT1",0.00208123565591051,6.11182831218135,0.298,0.115,1
"SHROOM3",0.00211587939773157,4.94235521979494,0.347,0.112,1
"TAF1D",0.00220808801722436,3.03999590438158,0.479,0.29,1
"ATL3",0.00225340436599478,4.91131727266183,0.405,0.208,1
"TWF2",0.00226846506201074,2.31463126699427,0.413,0.209,1
"TMOD3",0.00231363226940521,2.87289147323057,0.355,0.17,1
"TNKS2",0.00239892772866416,2.84235307275199,0.331,0.169,1
"PIH1D1",0.00243315850963961,0.768593663960735,0.372,0.201,1
"SCAMP2",0.00245833392022967,2.15815401640312,0.545,0.381,1
"COX7B",0.00253266511148552,0.795653126956806,0.554,0.419,1
"EIF3H",0.0025916123089072,1.10047959782761,0.521,0.402,1
"MACF1",0.00261143221632056,7.75174696534038,0.504,0.303,1
"EPB41L1",0.0026222722677161,13.903970951968,0.372,0.162,1
